Term	Notes	Russian
card_animal_pen_description		Может содержать 5 животных
card_animal_pen_name		Загон для животных
card_apple_description		Держит врачей подальше
card_apple_name		Яблоко
card_apple_tree_description		Дерево... с яблоками на нем
card_apple_tree_name		Яблоня
card_apple_tree_status		Бьет яблоню
card_bear_description		Мягкий, но опасный
card_bear_name		Медведь
card_berry_description		Простая еда, которую можно найти в ягодных кустах
card_berry_name		Ягода
card_berrybush_description		Куст с вкусными ягодами
card_berrybush_name		Ягодный куст
card_berrybush_status		Собирает ягоды
card_bone_description		Это факт: Скелеты содержат в себе много такого
card_bone_name		Кость
card_brick_description		Прочный строительный материал
card_brick_name		Кирпич
card_brickyard_description		Быстро превращает камень в кирпич
card_brickyard_name		Кирпичный цех
card_campfire_description		Может быть использован, чтобы приготовить еду, выглядит тепло и уютно
card_campfire_name		Костер
card_carrot_description		Самый хрустящий овощ
card_carrot_name		Морковь
card_catacombs_description		По слухам, в нем находится таинственный предмет
card_catacombs_name		Катакомбы
card_catacombs_status		Исследование катакомб
card_chicken_description		Так называемый потомок динозавров. Не очень похоже
card_chicken_name		Курица
card_cooked_meat_description		Готовится до средней степени прожарки
card_cooked_meat_name		Приготовленное мясо
card_corpse_description		Мертвый человек
card_corpse_name		Труп
card_cow_description		МУУУУУУУУ!
card_cow_name		Корова
card_demon_description		Финальний бос
card_demon_name		Демон
card_dog_description		Настоящий лучший друг человечества 
card_dog_name		Собака
card_egg_description		Нельзя есть сырым, спасибо сальмонелле
card_egg_name		Яйцо
card_explorer_description		Очень быстрый в исследовании локаций, но немного медленнее в других задачах
card_explorer_name		Исследователь
card_farm_description		Современное здание для выращивания продуктов питания
card_farm_name		Ферма
card_flint_description		Используется для разжигания огня
card_flint_name		Кремень
card_forest_description		Причудливое место, которое также содержит монстров
card_forest_name		Лес
card_forest_status		Исследование леса
card_frittata_description		Вкуснятина! Ешьте вилкой
card_frittata_name		Фритата
card_fruit_salad_description		Классическая древняя еда
card_fruit_salad_name		Фруктовый салат
card_garden_description		Простая постройка для выращивания пищи
card_garden_name		Сад
card_giant_rat_description		Большая версия маленькой крысы
card_giant_rat_name		Гигантская крыса
card_goblet_description		Мистический объект
card_goblet_name		Золотой кубок
card_goblin_description		Монстр с плохой осанкой
card_goblin_name		Гоблин
card_gold_description		Лучший друг человечества
card_gold_name		Монета
card_graveyard_description		Очень отличается от обычного клада
card_graveyard_name		Кладбище
card_graveyard_status		Исследование кладбища
card_house_description		Приятное место для жизни
card_house_name		Дом
